model,horizon,any_boundary,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
A_RES_CV,18,0,23,23,1.0,6,0.2608695652173913,0.3304843417583502,0.3256998251711201,19.828585731057718,13.32608667408131,0.5101351940209461
A_RES_CV,18,1,9,9,1.0,4,0.4444444444444444,0.4294794187016173,0.4192482471006452,107.21335924037255,18.73486820449843,0.481242274729284
A_RES_CV,19,0,17,17,1.0,3,0.17647058823529413,0.24966430985836213,0.22864144453633775,23.709986337964793,13.401609596254522,0.6079060346311984
A_RES_CV,19,1,8,8,1.0,4,0.5,0.44187197696814196,0.5115231845615796,126.37183487836559,21.676657565116752,0.5939312229370088
A_RES_CV,20,0,12,12,1.0,2,0.16666666666666666,0.2296797644835484,0.15646871011771127,27.316304267965823,19.147506967601203,0.8331445819232239
A_RES_CV,20,1,7,7,1.0,3,0.42857142857142855,0.35027376637445906,0.29384804787956803,149.36563844544307,20.04854294098904,1.0137367204595285
A_RES_CV,21,0,8,8,1.0,2,0.25,0.241314812365759,0.13900974197189453,27.236070254920786,15.029378363217756,0.8197782677967173
A_RES_CV,21,1,5,5,1.0,3,0.6,0.40500188473957344,0.5920721961192311,95.5952411910894,22.214422381082894,0.23383602506403045
A_RES_CV,22,0,5,5,1.0,1,0.2,0.20160503280111292,0.0,36.191231285051835,14.582756457714542,1.0416254612653244
A_RES_CV,22,1,3,3,1.0,2,0.6666666666666666,0.4508233622795574,0.5910761871130102,141.15804546219235,19.13220821893979,0.17392916562672536
A_RES_CV,23,0,2,2,1.0,0,0.0,0.0,0.0,78.75162897729311,78.75162897729311,4.7923154405337325
A_RES_CV,23,1,2,2,1.0,1,0.5,0.3651915772581818,0.3651915772581818,220.5323785130135,220.5323785130135,4.135057521972721
CV,1,0,204,204,1.0,204,1.0,0.9414604120946503,0.9540977115635797,1.0805128437127332,1.118033988749895,0.019990390603446397
CV,1,1,23,23,1.0,23,1.0,0.8553740427804115,0.9238057639163048,10.76964517901583,8.5,0.15971914124998499
CV,2,0,189,189,1.0,188,0.9947089947089947,0.8575202171053834,0.8818119107840883,2.941538168197548,2.9154759474226504,0.05335756605524754
CV,2,1,23,23,1.0,19,0.8260869565217391,0.7531002951339048,0.8506944444444444,20.49874770462633,17.5,0.3333333333333333
CV,3,0,175,175,1.0,164,0.9371428571428572,0.7517650960090123,0.7829787234042553,5.742327512371297,5.5901699437494745,0.10406162272638336
CV,3,1,22,22,1.0,15,0.6818181818181818,0.6449784664671874,0.7595005482741697,28.577979454636253,19.78988270581234,0.5554215819942951
CV,4,0,162,162,1.0,132,0.8148148148148148,0.635152451151072,0.6659597836932948,9.445751644272,9.12414379544733,0.18163100603484092
CV,4,1,20,20,1.0,14,0.7,0.5910371191211018,0.6581889811595742,33.2817755751639,19.49548441806421,0.4265256081784292
CV,5,0,150,150,1.0,92,0.6133333333333333,0.5180777344120238,0.5546344859446249,14.034609415480414,13.601470508735444,0.2613791469169068
CV,5,1,18,18,1.0,12,0.6666666666666666,0.5174710732684706,0.5839858994536358,37.96893572915101,21.790898407631513,0.3480576281199112
CV,6,0,138,138,1.0,50,0.36231884057971014,0.41127445785622974,0.44207474268856994,19.392647837948285,19.1049731745428,0.3711586836497992
CV,6,1,17,17,1.0,8,0.47058823529411764,0.4354817409580149,0.47044025157232705,46.67369159734845,22.299103120977758,0.5762215285808054
CV,7,0,126,126,1.0,34,0.2698412698412698,0.31334064748841944,0.32330910714416417,25.739185173971308,25.5049014897137,0.4959335883142918
CV,7,1,16,16,1.0,8,0.5,0.3762054143860323,0.43915489580556244,56.14051180830421,30.316330745964116,0.7255238626458731
CV,8,0,114,114,1.0,10,0.08771929824561403,0.22932333643563912,0.21400277231302195,32.74866564360698,32.55956075126464,0.6303976561830843
CV,8,1,15,15,1.0,2,0.13333333333333333,0.3118321253785197,0.43630072349795535,68.7787986381326,38.81043674065006,0.7568447252895099
CV,9,0,104,104,1.0,0,0.0,0.16157165184139038,0.11423096863519591,40.641739957452046,40.60006889620327,0.7887576567913133
CV,9,1,13,13,1.0,0,0.0,0.23288863395312218,0.3742690058479532,79.79539925499438,46.82413907377262,0.5461778550138033
CV,10,0,94,94,1.0,0,0.0,0.10732208243762177,0.021942784685514125,49.40182196394563,49.505049989850555,0.9760012666838567
CV,10,1,12,12,1.0,0,0.0,0.17007400407001474,0.1774034606410482,98.82947523311954,57.45779233300246,1.2851700061752052
CV,11,0,84,84,1.0,0,0.0,0.07047293801472373,0.0,58.8523902258273,58.358627512213275,1.1613290247008992
CV,11,1,12,12,1.0,0,0.0,0.12782613473100427,0.13259093940454417,114.50234918211417,68.2327855603343,1.7279729776490558
CV,12,0,75,75,1.0,0,0.0,0.04476791636916209,0.0,69.01935533276449,68.52919086053767,1.3406237242464774
CV,12,1,11,11,1.0,0,0.0,0.10070144147282348,0.14271407110665998,134.17742732088516,80.18883962248113,1.2371220287940168
CV,13,0,66,66,1.0,0,0.0,0.025697389241782616,0.0,80.17989864623752,79.22623663053216,1.5886490899464756
CV,13,1,11,11,1.0,0,0.0,0.05394411993971582,0.02328087949989222,150.62887917816445,86.76548853086693,1.7610946293793552
CV,14,0,57,57,1.0,0,0.0,0.009735097028498948,0.0,92.03845930021754,90.30088593142374,1.8768813450075144
CV,14,1,11,11,1.0,0,0.0,0.023234216333966697,0.007941815749874603,168.59286165285073,100.74348614178487,1.94425426674075
CV,15,0,48,48,1.0,0,0.0,0.002392528486099293,0.0,105.06759739884467,103.36056294358801,2.287520790440796
CV,15,1,11,11,1.0,0,0.0,0.003601973916223686,0.0,185.49829439579173,116.07109890063073,2.337295475224336
CV,16,0,39,39,1.0,0,0.0,0.0,0.0,117.55690740120407,115.97629068046624,2.67434554890577
CV,16,1,11,11,1.0,0,0.0,0.0,0.0,208.33322387277494,132.02367211981343,2.750031478036916
CV,17,0,30,30,1.0,0,0.0,0.0,0.0,131.2959979359191,128.90545105831802,3.0758968758883833
CV,17,1,11,11,1.0,0,0.0,0.0,0.0,226.1499828116487,141.84674828842572,3.2042918327743632
CV,18,0,23,23,1.0,0,0.0,0.0,0.0,144.7722928480651,143.9487756113264,6.000157527862768
CV,18,1,9,9,1.0,0,0.0,0.0,0.0,228.66071400674315,158.63322476707077,1.669823418600745
CV,19,0,17,17,1.0,0,0.0,0.0,0.0,160.45529654874076,161.0007763956435,6.717532009220055
CV,19,1,8,8,1.0,0,0.0,0.0,0.0,258.9764000566446,177.23992125399914,1.7899792966142711
CV,20,0,12,12,1.0,0,0.0,0.0,0.0,177.4185386971991,176.7556566277752,7.569368102490191
CV,20,1,7,7,1.0,0,0.0,0.0,0.0,293.2924110893095,197.03108891745993,2.074011462289052
CV,21,0,8,8,1.0,0,0.0,0.0,0.0,193.41973086441442,194.42068351667757,8.461713438411374
CV,21,1,5,5,1.0,0,0.0,0.0,0.0,265.2647575466207,207.61803871532936,2.2950325738942046
CV,22,0,5,5,1.0,0,0.0,0.0,0.0,213.4064888798975,215.2637916603719,9.36979218932189
CV,22,1,3,3,1.0,0,0.0,0.0,0.0,329.79999359642414,229.02674516309224,2.4108078438220235
CV,23,0,2,2,1.0,0,0.0,0.0,0.0,236.92129344725714,236.92129344725714,13.403572833205043
CV,23,1,2,2,1.0,0,0.0,0.0,0.0,408.8602591097137,408.8602591097137,6.813952875415103
S_FIXED,1,0,204,204,1.0,200,0.9803921568627451,0.845820970442979,0.86877621717607,3.46834775117638,3.3056589269997825,0.0594578282949301
S_FIXED,1,1,23,23,1.0,20,0.8695652173913043,0.7699667775366467,0.7727080461429374,11.952819739164374,8.601071448496588,0.12197384450491519
S_FIXED,2,0,189,189,1.0,179,0.9470899470899471,0.7348610252535379,0.7771010382399881,6.647814868032831,6.521486797763383,0.11597244457192535
S_FIXED,2,1,23,23,1.0,17,0.7391304347826086,0.6411370804853221,0.6677464364475633,17.43169007543097,15.468160591876662,0.1936973152509888
S_FIXED,3,0,175,175,1.0,139,0.7942857142857143,0.6503892799277121,0.6825529358705822,9.619231761801203,9.625313736460166,0.18152584619849552
S_FIXED,3,1,22,22,1.0,13,0.5909090909090909,0.5353536618576019,0.5705284530643299,21.317548126690674,18.714895943710026,0.302568958159283
S_FIXED,4,0,162,162,1.0,106,0.654320987654321,0.5820530426337196,0.6024706642866742,12.381145744316257,11.949843323778964,0.22080103350829827
S_FIXED,4,1,20,20,1.0,9,0.45,0.46343736995567913,0.4565822382698993,24.802360138808332,23.178169208611344,0.3361743697332441
S_FIXED,5,0,150,150,1.0,81,0.54,0.5225380862631736,0.5431288993336484,14.998995900806204,14.606953823068679,0.26851434519173667
S_FIXED,5,1,18,18,1.0,9,0.5,0.4301171491538802,0.45538104817482755,25.975143341940868,27.13861286732395,0.41526821411692705
S_FIXED,6,0,138,138,1.0,67,0.4855072463768116,0.4714602862657361,0.4822666611992916,17.445372410622,17.231606504268967,0.31948492295873
S_FIXED,6,1,17,17,1.0,8,0.47058823529411764,0.3937011306165503,0.4738947678649907,28.926178282275316,29.279965849248498,0.4805001704256579
S_FIXED,7,0,126,126,1.0,51,0.40476190476190477,0.4258785746549632,0.45121478465867276,19.73364458636368,18.55962492555888,0.35916382391135404
S_FIXED,7,1,16,16,1.0,8,0.5,0.3747743977772431,0.4699801008922028,31.267191853655365,31.104152272575018,0.5141927034092542
S_FIXED,8,0,114,114,1.0,35,0.30701754385964913,0.3856740006349108,0.40185675864622117,21.81407990268551,20.787698035481572,0.3856056076113754
S_FIXED,8,1,15,15,1.0,5,0.3333333333333333,0.36525964754783596,0.4803156942328989,33.00744115511874,32.497164155991854,0.5535270216854197
S_FIXED,9,0,104,104,1.0,27,0.25961538461538464,0.3477521430405943,0.3525268746068393,24.120048898299256,22.817651243295977,0.4473277500731039
S_FIXED,9,1,13,13,1.0,2,0.15384615384615385,0.3389602448656689,0.45376260981565997,34.812406653217565,36.60312963081977,0.5491854350481055
S_FIXED,10,0,94,94,1.0,18,0.19148936170212766,0.3134446111339207,0.33032963482213346,26.327917689919033,25.593489938892013,0.46427277519248233
S_FIXED,10,1,12,12,1.0,2,0.16666666666666666,0.30389441901616115,0.3647133004603901,39.08574630758729,41.086796747309045,0.5599961082143745
S_FIXED,11,0,84,84,1.0,12,0.14285714285714285,0.2829356370822713,0.29886571249884974,28.389713342818432,27.458889560867753,0.5149953088213549
S_FIXED,11,1,12,12,1.0,1,0.08333333333333333,0.28272989667229437,0.3427227453249757,41.517963342654426,43.003322028612075,0.586052417541148
S_FIXED,12,0,75,75,1.0,6,0.08,0.2528538615809636,0.2550751095856927,30.700405776961986,30.45792701821761,0.5551993803147086
S_FIXED,12,1,11,11,1.0,0,0.0,0.29299603055468704,0.3947241033920217,42.65069944641136,43.6911485971323,0.5530525138877506
S_FIXED,13,0,66,66,1.0,4,0.06060606060606061,0.22421089233529215,0.22748115874174324,32.98783233715146,32.07376774783811,0.6063113230835904
S_FIXED,13,1,11,11,1.0,0,0.0,0.2798807878421549,0.38170859363604753,44.70662931694574,46.94449511230424,0.5942341153456233
S_FIXED,14,0,57,57,1.0,2,0.03508771929824561,0.19827602231846184,0.20107238214727224,35.13444227070445,35.11743733334123,0.6217490544717139
S_FIXED,14,1,11,11,1.0,0,0.0,0.26525271085298535,0.3636408711092339,47.18377148811749,49.895547247228244,0.623694340590353
S_FIXED,15,0,48,48,1.0,2,0.041666666666666664,0.17289483076265863,0.15756624376869163,37.15460640669871,36.79808355075659,0.7016083660728584
S_FIXED,15,1,11,11,1.0,0,0.0,0.25848494714441705,0.34312283595746196,49.501735563206346,53.42167123569704,0.6354744756849464
S_FIXED,16,0,39,39,1.0,1,0.02564102564102564,0.14676664603100348,0.13335220060917888,38.89438237259027,39.92448531763125,0.773852879662359
S_FIXED,16,1,11,11,1.0,0,0.0,0.2516148473985221,0.32578575666933207,52.306675979878314,58.34899968261246,0.655786699060137
S_FIXED,17,0,30,30,1.0,1,0.03333333333333333,0.11983462077630745,0.0783717586113126,40.064653276884634,38.90535793380158,0.8857144095199637
S_FIXED,17,1,11,11,1.0,0,0.0,0.24411466330261275,0.3092986329169441,55.4237163604644,65.10765536760267,0.6808249018432787
